,all_day,close_date,close_time_h,close_time_i,close_time_s,companyNM,content_type,cycle,cycle_day,cycle_week,duration,for_tag,id,is_live,link,lite_archives_id,lite_archives_name,name,one_play,open_date,open_loop,open_time_h,open_time_i,open_time_s,play_mode,play_speed,play_time,play_time_h,play_time_i,play_time_s,play_time_unit,schedule_head_id,select_style_id,source,start,style,style_name,text_content,thumbnail,type,video_id,video_source,video_title,week
773,,,,,,眺望者智能科技（上海）有限公司,1,,,,,1,2313,,,,,全部??,,,,,,,2.0,,10,,,,i,,4477,,,"{""font_size"":""2"",""font_color"":""#ff0000"",""background_color"":""#ff9fc5e8"",""scroll_direction"":""left""}",Notice_2,你好啊！,,1,,,,
774,,,,,,眺望者智能科技（上海）有限公司,1,,,,,1,2313,,,,,全部??,,,,,,,1.0,,10,,,,i,,4476,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,come to,,1,,,,
775,,,,,,眺望者智能科技（上海）有限公司,2,,,,3.0,1,2313,,,['17565'],天空?~.jpg,全部??,1,,,,,,,3,,0,0,0,,,,,,,,,,2,,,,
776,,,,,,眺望者智能科技（上海）有限公司,2,,,,10.0,1,2313,,,['17565'],天空?~.jpg,全部??,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
777,,,,,,眺望者智能科技（上海）有限公司,1,,,,,1,2313,,,,,全部??,,,,,,,2.0,,1,,,,i,,5757,,,"{""font_size"":""2"",""font_color"":""#ff00ff"",""background_color"":""#ff000000"",""scroll_direction"":""left""}",你好啊,你好啊,,1,,,,
778,,,15,30,0,眺望者智能科技（上海）有限公司,1,,,,,1,2313,,,,,全部??,,2019-08-21,,15,0,0,2.0,,,,,,,,4477,,,"{""font_size"":""2"",""font_color"":""#ff0000"",""background_color"":""#ff9fc5e8"",""scroll_direction"":""left""}",Notice_2,哈哈哈哈,,1,,,,
779,,,,,,OCS Workplaces B,1,,,,,0,6570,,,,,MediaScape,,,,,,,1.0,,10,,,,i,,5311,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,dit apparaat gaat over 10 seconden offline,,1,,,,
780,,,,,,OCS Workplaces B,3,,,,416.0,0,6570,False,https://www.youtube.com/watch?v=h19jNwXrr8o&t=7s,[],,MediaScape,1,,,,,,,,,0,0,0,,,,1,7.0,,,,https://i.ytimg.com/vi/h19jNwXrr8o/mqdefault.jpg,3,h19jNwXrr8o,,VodafoneZiggo 'The Merger' - True story behind VodafoneZiggo's new HQ,
781,,,,,,OCS Workplaces B,3,,,,416.0,0,6570,False,https://www.youtube.com/watch?v=h19jNwXrr8o&t=7s,[],,MediaScape,1,,,,,,,,,0,0,0,,,,1,7.0,,,,https://i.ytimg.com/vi/h19jNwXrr8o/mqdefault.jpg,3,h19jNwXrr8o,,VodafoneZiggo 'The Merger' - True story behind VodafoneZiggo's new HQ,
782,,,,,,Nord Anglia Int,1,,,,,0,6573,,,,,4RRA,,,,,,,2.0,,10,,,,i,,5764,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,hello,,1,,,,
