"id","company_id","name","com_name","group_id","is_ifp","player_os_version","model_id","model_name","created_at"
"4588","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 11:02:49"
"4589","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 11:13:22"
"4590","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 11:27:43"
"4591","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 11:41:12"
"4592","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 11:50:26"
"4594","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 06:28:03"
"4595","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 06:40:54"
"4596","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 06:50:53"
"4597","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 07:01:06"
"4598","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 07:11:01"
"4599","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 07:20:17"
"4600","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 07:31:16"
"4601","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 07:51:28"
"4602","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 08:03:50"
"4603","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 08:21:15"
"4604","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 08:32:55"
"4605","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 08:42:57"
"4606","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 09:02:12"
"4607","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 09:15:25"
"4608","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 09:23:46"
"4609","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 09:36:58"
"4610","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 09:52:43"
"4611","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-03 10:05:06"
